sample	sample_status	DEPDC2	GM01	GM07	GM09	GM11	GM14	GM17	GM22	GM26	GM29	IM16	IM49	LR10	LR11	LR17	LR20	LR24	LR36	LR40	LR44	LR46	LR48	LR49	LR52
ERR2763058	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763059	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763060	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763061	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763062	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763063	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763064	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763065	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763066	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763067	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763068	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763069	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763070	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763071	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763072	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763073	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763074	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763075	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763076	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763077	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763078	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763079	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763080	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763081	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763082	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763083	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763084	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763085	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763086	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763087	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763088	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763089	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763090	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763091	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763092	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763093	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763094	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763095	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763096	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763097	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763098	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763099	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763100	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763101	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763102	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763103	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763104	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763105	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763106	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763107	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763108	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763109	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763110	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763111	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763112	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763113	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763114	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763115	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763116	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763117	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763118	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763119	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763120	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763121	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763122	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763123	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763124	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763125	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763126	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763127	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763128	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763129	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763130	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763131	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763132	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763133	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763134	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763135	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763137	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763138	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
